venue,record_count,unique_paper_keys,curated_records,archive_records,source_union_in_dataset,crossref_lookup_status,crossref_match_title,crossref_match_issn,crossref_match_publisher,crossref_total_dois,crossref_lookup_note,example_titles
Journal of Polymer Science,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Polymer Science,0022-3832; 1542-6238,Wiley (John Wiley & Sons),4606,,Liquid Glass: Polymerizable Silica Precursors for Microstructured Silica Glass Manufacturing: A Review
Journal of Reinforced Plastics and Composites,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Reinforced Plastics and Composites,0731-6844; 1530-7964,SAGE Publications,5123,,A stress field-based path planning method for fiber-reinforced FDM-printed parts with joining hole structure
Journal of Separation Science,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Separation Science,1615-9306; 1615-9314,Wiley (John Wiley & Sons),11558,,Integrating Optical Feedback Alignment and Fluidic Control for Multiphase Flow‐Assisted In Situ 3D Printing
Journal of Sustainable Smart Materials and Structural Systems,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Sustainable Smart Materials and Structural Systems,3083-3604,Open Horizon Global,14,,"Recent Advancements, Trends and Future Prospects of Upper Limb Prosthesis through 3D printing- A Systematic Review"
Journal of Systems and Software,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Systems and Software,0164-1212,Elsevier,6857,,Automated variability evaluation using a model-based approach with an implementation in CubeSat
Journal of the American Chemical Society,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of the American Chemical Society,0002-7863; 1520-5126,American Chemical Society,219114,,Photoresponsive Biomimetic Functions by Light-Driven Molecular Motors in Three Dimensionally Printed Liquid Crystal Elastomers
Journal of the Egyptian National Cancer Institute,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of the Egyptian National Cancer Institute,1110-0362,Springer (Biomed Central Ltd.),274,,Artificial intelligence in cancer immunotherapy: current trends in predicting response and personalizing treatment
Journal of the Korean Society for Precision Engineering,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of the Korean Society for Precision Engineering,1225-9071; 2287-8769,Korean Society of Precision Engineering,1982,,A VP-based 3D Human Pose Correction and Digital Twin Mapping Framework Using a Single RGB Image
Journal of the Korean Society of Manufacturing Process Engineers,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of the Korean Society of Manufacturing Process Engineers,1598-6721; 2288-0771,The Korean Society of Manufacturing Process Engineers,2116,,Additive Manufacturing of Refractory Alloy-based Multi-Material Structures: A Review
Journal on Electronic and Automation Engineering,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal on Electronic and Automation Engineering,2583-6951; 2583-6951,REST Publisher,247,,Evaluating Additive Manufacturing Options through TOPSIS Method A Comprehensive Decision-Making Approach
Maritime Technology and Research,1,1,0,1,OpenAlex,exact_crossref_journal_match,Maritime Technology and Research,2651-205X,Faculty of International Maritime Studies,185,,"Harnessing cutting-edge technologies for sustainable future shipping: An overview of innovations, drivers, barriers, and opportunities"
Material and Mechanical Engineering Technology,1,1,0,1,OpenAlex,exact_crossref_journal_match,Material and Mechanical Engineering Technology,2706-977X; 2706-977X,Karaganda Technical University named after Abylkas Saginov,189,,A Review of Modeling and Preparation of Functionally Graded Materials for Bone Tissue Engineering
Materials Futures,1,1,0,1,OpenAlex,exact_crossref_journal_match,Materials Futures,2752-5724,IOP Publishing,253,,Recent advances in 3D-printable aggregation-induced emission materials
Materials Research Bulletin,1,1,0,1,OpenAlex,exact_crossref_journal_match,Materials Research Bulletin,0025-5408,Elsevier,19446,,Materials by machines: A review on intuition and knowledge-driven learning for rapid discovery and optimization
Materials Research Letters,1,1,1,0,OpenAlex,exact_crossref_journal_match,Materials Research Letters,2166-3831,Informa UK (Taylor & Francis),1021,,Additive manufacturing of metallic heterostructured materials: from 1D to 4D
Materials Science and Engineering R Reports,1,1,1,0,OpenAlex,exact_crossref_journal_match,Materials Science and Engineering R Reports,0927-796X,Elsevier,1086,,Hybrid 4D printing of flexible multifunctional composites by multi jet fusion and direct ink writing
Materials Today Sustainability,1,1,1,0,OpenAlex,exact_crossref_journal_match,Materials Today Sustainability,2589-2347,Elsevier,1389,,Towards sustainable hydrogen infrastructures: Additive manufacturing of metallic materials for enhanced resistance to hydrogen embrittlement
Mathematical Modeling and Algorithm Application,1,1,1,0,OpenAlex,exact_crossref_journal_match,Mathematical Modeling and Algorithm Application,3006-2020; 3006-0842,Darcy & Roy Press Co. Ltd.,390,,Integrated Manufacturing of Soft Robots Based on 3D Printing
Mathematics,1,1,0,1,OpenAlex,exact_crossref_journal_match,Mathematics,2227-7390,MDPI AG,27488,,"Advanced Graph Neural Networks for Smart Mining: A Systematic Literature Review of Equivariant, Topological, Symplectic, and Generative Models"
Measurement Science and Technology,1,1,1,0,OpenAlex,exact_crossref_journal_match,Measurement Science and Technology,0957-0233; 1361-6501,IOP Publishing,18875,,Importance of surface roughness to the performance of additively-manufactured magnets
Mechanical Systems and Signal Processing,1,1,0,1,OpenAlex,exact_crossref_journal_match,Mechanical Systems and Signal Processing,0888-3270; 1096-1216,Elsevier,13101,,Study on real-time prediction for porosity in laser melting based on a digital twin-driven deep learning framework
Mechanika,1,1,1,0,OpenAlex,exact_crossref_journal_match,Mechanika,1392-1207; 2029-6983,Kaunas University of Technology (KTU),1648,,Recent Advances in Friction Stir Additive Manufacturing: A Review of Mechanical and Microstructural Performance in Similar and Dissimilar Composites
Mechatronics,1,1,0,1,OpenAlex,exact_crossref_journal_match,Mechatronics,0957-4158,Elsevier,3345,,A digital twin of evaporative thermo-fluidic process in the fixation unit of DoD inkjet printers
MedComm,1,1,0,1,OpenAlex,exact_crossref_journal_match,MedComm,2688-2663; 2688-2663,Wiley (John Wiley & Sons),1620,,"AI‐Driven Revolution of Medical Robotics Across Surgical Innovation, Rehabilitation Intelligence, and Multimodal Healthcare Delivery"
Metrology,1,1,1,0,OpenAlex,exact_crossref_journal_match,Metrology,2673-8244,MDPI AG,228,,"Recent Advances in Digital Fringe Projection Profilometry (2022–2025): Techniques, Applications, and Metrological Challenges—A Review"
Military Medical Research,1,1,1,0,OpenAlex,exact_crossref_journal_match,Military Medical Research,2095-7467; 2054-9369,Elsevier,719,,3D bioprinting of tissues and organs for systemic diseases and localized injuries
Nanomanufacturing,1,1,1,0,OpenAlex,exact_crossref_journal_match,Nanomanufacturing,2673-687X,MDPI AG,105,,Advancements in Two-Photon Polymerization (2PP) for Micro and Nanoscale Fabrication
Natural Sciences and Engineering Bulletin,1,1,0,1,OpenAlex,exact_crossref_journal_match,Natural Sciences and Engineering Bulletin,3023-8293,Natural Sciences and Engineering Bulletin,3,,Development of an Offline Digital Twin Framework for Forging Dies Based on the Upper Bound Energy Method
Nature Chemical Engineering,1,1,0,1,OpenAlex,exact_crossref_journal_match,Nature Chemical Engineering,2948-1198,Springer Science and Business Media LLC,405,,A knowledge graph framework for digital twins of chemical processes
Nature Protocols,1,1,1,0,OpenAlex,exact_crossref_journal_match,Nature Protocols,1750-2799; 1754-2189,Springer Science and Business Media LLC,3952,,Sonicated inks and focused-ultrasound writing enable deep-penetration acoustic volumetric printing
Nondestructive Testing And Evaluation,1,1,0,1,OpenAlex,exact_crossref_journal_match,Nondestructive Testing And Evaluation,1058-9759; 1477-2671,Informa UK (Taylor & Francis),2094,,Hybrid AI-Physics framework for predicting failure zones in 3D-Printed protective gear for contact sports
npj Artificial Intelligence,1,1,1,0,OpenAlex,exact_crossref_journal_match,npj Artificial Intelligence,3005-1460,Springer Science and Business Media LLC,121,,Enabling geometry and toolpath generalization for machine learning based thermal modeling in laser powder bed fusion
npj Digital Surgery,1,1,0,1,OpenAlex,exact_crossref_journal_match,npj Digital Surgery,3091-2806,Springer Science and Business Media LLC,10,,"Reimagining surgery in a world powered by intelligence, connectivity, and code"
npj Flexible Electronics,1,1,1,0,OpenAlex,exact_crossref_journal_match,npj Flexible Electronics,2397-4621,Springer Science and Business Media LLC,597,,3D micropatterning of PEDOT:PSS/Gelatin conductive hydrogels via two-photon lithography for soft bioelectronics
npj Heritage Science,1,1,0,1,OpenAlex,exact_crossref_journal_match,npj Heritage Science,3059-3220,Springer Science and Business Media LLC,1155,,Digital regeneration of historical buildings using UAV photogrammetry and 3D Gaussian splatting for metaverse environments
npj Soft Matter,1,1,1,0,OpenAlex,exact_crossref_journal_match,npj Soft Matter,3059-3263,Springer Science and Business Media LLC,28,,Non-planar additive manufacturing with hydrogels: a review of flow control and toolpath strategies
Nusantara Science and Technology Proceedings,1,1,1,0,OpenAlex,exact_crossref_journal_match,Nusantara Science and Technology Proceedings,2622-9692,Galaxy Science,476,,Advances and Challenges in Personalized Socket Design: A Review of Pho-togrammetry and Additive Manufacturing Techniques for Lower-Limb Prosthetics
Open Information and Computer Integrated Technologies,1,1,0,1,OpenAlex,exact_crossref_journal_match,Open Information and Computer Integrated Technologies,2071-1077; 2663-2411; 2663-2411,National Aerospace University - Kharkiv Aviation Institute,416,,Evolution of approaches to intelligent microclimate control in industrial environments: A review of models for cyber-physical systems
Organoid Research,1,1,0,1,OpenAlex,exact_crossref_journal_match,Organoid Research,3082-8503,AccScience Publishing,48,,Advancing tumor organoid 3D culture with functionalized hydrogels: Applications in precision medicine and technological challenges
Periodica Polytechnica Civil Engineering,1,1,1,0,OpenAlex,exact_crossref_journal_match,Periodica Polytechnica Civil Engineering,0553-6626; 1587-3773,"Periodica Polytechnica, Budapest University of Technology and Economics",1318,,Algorithm for Generating Gradient Infills in Load-bearing 3D-printed Parts
Periodica Polytechnica Electrical Engineering and Computer Science,1,1,0,1,OpenAlex,exact_crossref_journal_match,Periodica Polytechnica Electrical Engineering and Computer Science,2064-5260; 2064-5279,"Periodica Polytechnica, Budapest University of Technology and Economics",425,,Detection of Cyber Attacks in Critical Infrastructure Systems Using Deep Learning Approaches
Pharaonic Journal of Science,1,1,0,1,OpenAlex,exact_crossref_journal_match,Pharaonic Journal of Science,3062-6013; 3062-6021,Society of Pathological Biochemistry and Hematology,42,,The Role of Intelligent Technologies in Advancing Operations Research Models and Statistical Methods: A Review
Physica Scripta,1,1,0,1,OpenAlex,exact_crossref_journal_match,Physica Scripta,0031-8949; 1402-4896,IOP Publishing,33802,,A unified rheological model for shape memory polymers in 4D printing: from additive manufacturing to thermomechanical programming
Plasticheskie massy,1,1,1,0,OpenAlex,exact_crossref_journal_match,Plasticheskie massy,0554-2901,Publishing House Plastic Ltd,620,,Current state of research in the field of 3D printing device designs using photopolymer composites (review)
PNAS Nexus,1,1,1,0,OpenAlex,exact_crossref_journal_match,PNAS Nexus,2752-6542,Oxford University Press,2002,,Electric field-coupled two-photon polymerization system for on-demand modulation of 3D-printed structural color
Proceedings of the AAAI Symposium Series,1,1,1,0,OpenAlex,exact_crossref_journal_match,Proceedings of the AAAI Symposium Series,2994-4317,Association for the Advancement of Artificial Intelligence (AAAI),647,,Time-Aware Two-Dimensional Packing for Slicing-Aware 3D Printing Throughput Optimization
Programmable Materials,1,1,1,0,OpenAlex,exact_crossref_journal_match,Programmable Materials,2752-8073,Cambridge University Press,19,,Selective near-infrared laser programming for shape-memory polymer–carbon nanotube composite material 4D printing
Quantum Science and Technology,1,1,1,0,OpenAlex,exact_crossref_journal_match,Quantum Science and Technology,2058-9565,IOP Publishing,1400,,Additive manufacturing of functionalised atomic vapour cells for next-generation quantum technologies
Rare Metals,1,1,1,0,OpenAlex,exact_crossref_journal_match,Rare Metals,1001-0521; 1867-7185,Wiley (John Wiley & Sons),5317,,Advancements and Applications of 3D Printing Techniques and Novel Materials in Soft Robotics for Medical Devices
Review of Materials Research,1,1,0,1,OpenAlex,exact_crossref_journal_match,Review of Materials Research,3050-9130,Elsevier,140,,The next-generation polymer composite revolution: AI-driven multi-functional polymer composite for intelligent additive manufacturing
REVIEWS ON ADVANCED MATERIALS SCIENCE,1,1,1,0,OpenAlex,exact_crossref_journal_match,REVIEWS ON ADVANCED MATERIALS SCIENCE,1605-8127,Walter de Gruyter GmbH,662,,Recent advances in 4D printing of hydrogels
Revista Tópicos.,1,1,0,1,OpenAlex,exact_crossref_journal_match,Revista Tópicos,2965-6672,Revista Tópicos,2004,,IMPACTOS DA MANUFATURA ADITIVA NOS PROCESSOS PRODUTIVOS DA INDÚSTRIA AUTOMOTIVA
RIVISTA GEOGRAFICA ITALIANA,1,1,0,1,OpenAlex,exact_crossref_journal_match,RIVISTA GEOGRAFICA ITALIANA,0035-6697; 2499-748X,Franco Angeli,219,,L'intelligenza artificiale come modello della realtà. Riflessioni intorno ai gemelli digitali
Robotics,1,1,1,0,OpenAlex,exact_crossref_journal_match,Robotics,0167-8493,Elsevier,174,,Development of an Anthropometric Soft Pneumatic Gripper with Reconfigurable Fingers for Assistive Robotics
Romanian Cyber Security Journal,1,1,0,1,OpenAlex,exact_crossref_journal_match,Romanian Cyber Security Journal,2668-6430; 2668-1730,Romanian Cyber Security Journal,93,,Securing Mechatronic Control Modules in the Context of Current Cyber Threats
RSC Advances,1,1,1,0,OpenAlex,exact_crossref_journal_match,RSC Advances,2046-2069,The Royal Society of Chemistry,81728,,"Advanced additive manufacturing in orthopedics: a comprehensive review of biomaterials, structural design, biological functions and clinical technology applications"
SAE International Journal of Materials and Manufacturing,1,1,0,1,OpenAlex,exact_crossref_journal_match,SAE International Journal of Materials and Manufacturing,1946-3979; 1946-3987,SAE International,1164,,"A Review of Welding Techniques in Metal Additive Manufacturing: Advancements, Challenges, and Future Directions"
Scientific Journal of Engineering Research,1,1,0,1,OpenAlex,exact_crossref_journal_match,Scientific Journal of Engineering Research,3109-1725,PT. Teknologi Futuristik Indonesia,61,,Artificial Intelligence–Driven Simulation Models for Industrial Accident Prevention in Chemical Process Engineering
Scientific Journal of Silesian University of Technology Series Transport,1,1,0,1,OpenAlex,exact_crossref_journal_match,Scientific Journal of Silesian University of Technology Series Transport,0209-3324; 2450-1549,Silesian University of Technology,750,,DIGITALIZATION OF BUSINESS PROCESSES IN THE INTEGRATED CONCEPT OF “INDUSTRY 5.0” IN ENSURING INVESTMENT AND SECURITY MANAGEMENT OF TRANSPORT ENTERPRISES
Shanlax International Journal of Arts Science and Humanities,1,1,1,0,OpenAlex,exact_crossref_journal_match,Shanlax International Journal of Arts Science and Humanities,2321-788X; 2582-0397,Shanlax International Journals,1448,,Future of Smart and Sustainable Foods: A 4D Printing Perspective
Shipbuilding and marine infrastructure,1,1,0,1,OpenAlex,exact_crossref_journal_match,Shipbuilding and marine infrastructure,2409-3858; 2519-1845,Admiral Makarov National Unviersity of Shipbuilding,180,,INTEGRATED MULTIMEDIA DATA PROTECTION IN SHIPBUILDING AND MARITIME INFRASTRUCTURE
ShodhKosh Journal of Visual and Performing Arts,1,1,0,1,OpenAlex,exact_crossref_journal_match,ShodhKosh Journal of Visual and Performing Arts,2582-7472,Granthaalayah Publications and Printers,6496,,DIGITAL TWINS IN SCULPTURE STUDIOS: ENHANCING LEARNING
SINTEK JURNAL Jurnal Ilmiah Teknik Mesin,1,1,1,0,OpenAlex,exact_crossref_journal_match,SINTEK JURNAL Jurnal Ilmiah Teknik Mesin,2088-9038; 2549-9645,Universitas Muhammadiyah Jakarta,134,,Acoustic Analysis of 3D Printing Motion Patterns for Machine Condition Monitoring
Small Science,1,1,0,1,OpenAlex,exact_crossref_journal_match,Small Science,2688-4046; 2688-4046,Wiley (John Wiley & Sons),1199,,Sustainable 4D Printable Biobased Shape Memory Polymers with Linear Tunability and Multistimuli Actuation for Advanced Applications
Smart and Resilient Transport,1,1,0,1,OpenAlex,exact_crossref_journal_match,Smart and Resilient Transport,2632-0487; 2632-0495,Emerald (MCB UP),71,,Reducing human error in aircraft maintenance: a dual-framework analysis of smart technologies using SWOT and HFACS in Philippine MROs
Smart and Sustainable Built Environment,1,1,0,1,OpenAlex,exact_crossref_journal_match,Smart and Sustainable Built Environment,2046-6099; 2046-6099; 2046-6102,Emerald (MCB UP),818,,Artificial intelligence–based strategies for indoor environmental quality optimisation
Smart Wearable Technology,1,1,0,1,OpenAlex,exact_crossref_journal_match,Smart Wearable Technology,3122-7570,BON VIEW PUBLISHING PTE,50,,Polymer-Based Smart Material in 4D Printing Applications
SmartSys,1,1,1,0,OpenAlex,exact_crossref_journal_match,SmartSys,2097-5430; 2097-5430,Wiley (John Wiley & Sons),41,,Synergy of Smart Materials and Structures Toward Intelligent Metamaterials
Supply Chain Forum an International Journal,1,1,0,1,OpenAlex,exact_crossref_journal_match,Supply Chain Forum an International Journal,1625-8312; 1624-6039,Informa UK (Taylor & Francis),667,,Digital innovations in sustainable fashion supply chains: a SCOR-Driven synthesis
Surface Science and Technology,1,1,0,1,OpenAlex,exact_crossref_journal_match,Surface Science and Technology,2097-3624; 2731-7838,Springer-Verlag,140,,"Machine learning in thermal spraying: applications, challenges, and future perspectives"
Surfaces,1,1,1,0,OpenAlex,exact_crossref_journal_match,Surfaces,2571-9637,MDPI AG,417,,Vat Photopolymerization of Additively Manufactured Zirconia Ceramic Structures from Slurries of Surface Functionalized Particles: A Critical Review
Telematics and Informatics Reports,1,1,0,1,OpenAlex,exact_crossref_journal_match,Telematics and Informatics Reports,2772-5030,Elsevier,330,,Healthcare digital twins: A methodological literature review on integrating iot and AI for personalized medicine and predictive care
The Aeronautical Journal,1,1,0,1,OpenAlex,exact_crossref_journal_match,The Aeronautical Journal,0001-9240; 2059-6464,Cambridge University Press,8089,,Artificial intelligence for sustainable aviation: a review on operational implementations and future perspectives
The Annals of “Dunarea de Jos” University of Galati Fascicle IX Metallurgy and Materials Science,1,1,1,0,OpenAlex,exact_crossref_journal_match,The Annals of “Dunarea de Jos” University of Galati Fascicle IX Metallurgy and Materials Science,2668-4748; 2668-4756,Universitatea Dunarea de Jos din Galati,332,,Smart Metallurgy: The Impact of Industry 4.0 on Materials Processing and Innovation
The Chemical Record,1,1,1,0,OpenAlex,exact_crossref_journal_match,The Chemical Record,1527-8999; 1528-0691,Wiley (John Wiley & Sons),2717,,Printing to Fight Antimicrobial Resistance Through Nano/Microstructured Platforms
The Educational Review USA,1,1,0,1,OpenAlex,exact_crossref_journal_match,The Educational Review USA,2575-7938; 2575-7946,Hill Publishing Group Inc.,1099,,Advancing U.S. Manufacturing Competitiveness Through AI and Nanotechnology: A Strategic Curriculum Framework for Workforce Development
The European Physical Journal Special Topics,1,1,1,0,OpenAlex,exact_crossref_journal_match,The European Physical Journal Special Topics,1951-6355; 1951-6401,Springer-Verlag,6015,,Advanced RF cavity manufacturing using multi-material laser powder bed fusion
The Journal of Defense Modeling and Simulation Applications Methodology Technology,1,1,0,1,OpenAlex,exact_crossref_journal_match,The Journal of Defense Modeling and Simulation Applications Methodology Technology,1548-5129; 1557-380X,SAGE Publications,824,,On digital twins in defense: overview and applications
The Scientific Issues of Ternopil Volodymyr Hnatiuk National Pedagogical University Series pedagogy,1,1,1,0,OpenAlex,exact_crossref_journal_match,The Scientific Issues of Ternopil Volodymyr Hnatiuk National Pedagogical University Series pedagogy,2311-6382; 2415-3605,Ternopil Volodymyr Hnatiuk National Pedagogical University,391,,ТЕХНІКО-ТЕХНОЛОГІЧНЕ ОБҐРУНТУВАННЯ ЗАСТОСУВАННЯ МОДУЛЬНИХ ШНЕКІВ У МАШИНАХ ДЛЯ ТРАНСПОРТУВАННЯ ШТУЧНИХ ВАНТАЖІВ
Thermal Science,1,1,1,0,OpenAlex,exact_crossref_journal_match,Thermal Science,0354-9836; 2334-7163,National Library of Serbia,6554,,Digital twin-based intelligent warehouse thermal environment simulation and automated control optimization
Transactions of Materials Research,1,1,1,0,OpenAlex,exact_crossref_journal_match,Transactions of Materials Research,3050-9149,Elsevier,216,,Interfacial bonding mechanism and microstructural evolution in additive friction stir deposition of Ti/Al dissimilar alloys via substrate micro-grooving
Transactions of the Indian Institute of Metals,1,1,0,1,OpenAlex,exact_crossref_journal_match,Transactions of the Indian Institute of Metals,0972-2815; 0975-1645,Springer-Verlag,4208,,A global approach for the digitalization of progressive sheet metal forming
Transactions of the Institute of Measurement and Control,1,1,0,1,OpenAlex,exact_crossref_journal_match,Transactions of the Institute of Measurement and Control,0142-3312; 1477-0369,SAGE Publications,4665,,Quality-driven multi-stage dynamic scheduling optimization for flexible manufacturing via digital twin with integrated rework mechanism
Translational dental research.,1,1,0,1,OpenAlex,exact_crossref_journal_match,Translational Dental Research,2950-3485,Elsevier,51,,Advancing Orthodontic Care Through Digital Twin Technology
Turkish Journal of Engineering,1,1,1,0,OpenAlex,exact_crossref_journal_match,Turkish Journal of Engineering,2587-1366,Turkish Journal of Engineering,387,,A comprehensive review on application of machine intelligence in additive manufacturing
Türkiye İnsansız Hava Araçları Dergisi,1,1,1,0,OpenAlex,exact_crossref_journal_match,Türkiye İnsansız Hava Araçları Dergisi,2687-6094,Turkiye Insansiz Hava Araclari Dergisi,48,,4D Printing Technology and Its Application Possibilities in Unmanned Aerial Vehicles (UAVs)
Veterinary Medicine and Science,1,1,0,1,OpenAlex,exact_crossref_journal_match,Veterinary Medicine and Science,2053-1095; 2053-1095,Wiley (John Wiley & Sons),2592,,4D Printing in Veterinarian Science: The Coming Technology
Virtual Worlds,1,1,0,1,OpenAlex,exact_crossref_journal_match,Virtual Worlds,2813-2084,MDPI AG,150,,Designing Extended Intelligence: A Taxonomy of Psychobiological Effects of XR–AI Systems for Human Capability Augmentation
VITRUVIO - International Journal of Architectural Technology and Sustainability,1,1,0,1,OpenAlex,exact_crossref_journal_match,VITRUVIO - International Journal of Architectural Technology and Sustainability,2444-9091,Universitat Politecnica de Valencia,194,,From BIM to Agentic AI: predictive management systems and phygital digital twins for built heritage
West Science Interdisciplinary Studies,1,1,0,1,OpenAlex,exact_crossref_journal_match,West Science Interdisciplinary Studies,2987-1042; 2985-8895,PT. Sanskara Karya Internasional,774,,Integration of Digital Twins and IoT Sensors to Support Monitoring Accuracy and Maintenance Effectiveness in the Manufacturing Industry in the Cikarang Region
West Science Social and Humanities Studies,1,1,0,1,OpenAlex,exact_crossref_journal_match,West Science Social and Humanities Studies,3026-1651; 3025-3764,PT. Sanskara Karya Internasional,512,,Bibliometric Analysis of Digital Twin Technology
World Journal of Advanced Engineering Technology and Sciences,1,1,0,1,OpenAlex,exact_crossref_journal_match,World Journal of Advanced Engineering Technology and Sciences,2582-8266,GSC Online Press,2433,,Scenario Modeling in Demand-Constrained Supply Chains: A Forecast to Delivery View
Вісник Херсонського національного технічного університету,1,1,0,1,OpenAlex,exact_crossref_journal_match,Вісник Херсонського національного технічного університету,2078-4481,Kherson National Technical University,1393,,ЦИФРОВІ ДВІЙНИКИ В АДИТИВНОМУ ВИРОБНИЦТВІ МЕТАЛЕВИХ ВИРОБІВ
Перспективні технології та прилади,1,1,0,1,OpenAlex,exact_crossref_journal_match,Перспективні технології та прилади,2313-5352; 2313-5352,Lutsk National Technical University,320,,&lt;b&gt;IOT-МОНІТОРИНГ ПРОЦЕСУ ЕКСТРУЗІЇ ПРИ ВИРОБНИЦТВІ СНЕКІВ НА ДВОШНЕКОВОМУ ЕКСТРУДЕРІ&lt;/b&gt;&lt;b&gt;&lt;/b&gt;
Таврійський науковий вісник Серія Технічні науки,1,1,0,1,OpenAlex,exact_crossref_journal_match,Таврійський науковий вісник Серія Технічні науки,2786-4588; 2786-4596,Kherson State Agricultural University,1011,,ВПЛИВ МІНІАТЮРИЗАЦІЇ НА НАДІЙНІСТЬ SMT-З’ЄДНАНЬ. БЕЗСВИНЦЕВІ ПРИПОЇ: ПРОБЛЕМИ ТА ПЕРСПЕКТИВИ
